Image;Minimum;Maximum;Squared Dynamic Range;Mean;Standard Deviation;Variance;Skewness;Kurtosis;92.5 Percentile;85 Percentile;15 Percentile;7.5 Percentile;Interquartile Range;Median;Shannon Entropy;Bins Entropy;Normalized Energy;Root Mean Square;Mean Absolute Deviation;Robust Mean Absolute Deviaton;label
Img81;0;240;57600;108,0831081;46,40376823;2153,309706;0,355387305;2,49401883;192;160;64;48;64;112;3,495087769;3,495087769;13835,26796;117,6234159;38,53685798;104,3037154;1
Img82;0;240;57600;110,5601441;43,57325865;1898,628869;0,474589076;2,676161977;192;160;64;48;64;112;3,390969222;3,390969222;14122,17434;118,836755;35,46109729;108,7940459;1
Img83;0;240;57600;115,9329459;43,89182083;1926,491936;0,390143521;2,617139627;176;160;80;64;64;112;3,424358457;3,424358457;15366,93989;123,9634619;36,00257755;114,2696412;1
Img84;0;240;57600;107,7777613;47,49868559;2256,125132;0,119229361;2,400660914;176;160;48;32;80;112;3,49985033;3,49985033;13872,17095;117,7801807;39,44984826;106,6575236;1
Img85;16;240;50176;111,7649144;42,19909157;1780,763329;0,392984444;3,149796825;176;144;64;48;64;112;3,383456165;3,383456165;14272,15942;119,4661434;32,65745723;110,5816063;1
Img86;16;240;50176;145,3519032;59,87874593;3585,464214;-0,369049688;1,701677501;224;208;64;48;112;160;3,521037733;3,521037733;24712,63996;157,2025444;52,72913742;148,409317;1
Img87;0;240;57600;140,2137207;47,96584013;2300,721819;-0,083753293;1,872603422;208;192;80;64;80;144;3,471484656;3,471484656;21960,6093;148,1911242;41,65128687;145,0662096;1
Img88;16;240;50176;132,2115788;57,58081333;3315,550063;0,019814032;1,397475941;208;192;64;64;112;144;3,28741596;3,28741596;20795,45164;144,2062816;54,01830457;133,329865;1
Img89;16;240;50176;132,2115788;57,58081333;3315,550063;0,019814032;1,397475941;208;192;64;64;112;144;3,28741596;3,28741596;20795,45164;144,2062816;54,01830457;133,329865;1
Img90;16;240;50176;134,8049189;45,96698969;2112,964142;-0,037882155;1,665119844;192;192;80;64;80;144;3,251278945;3,251278945;20285,33031;142,4265787;41,59189546;135,6552545;1
Img91;16;240;50176;131,7638131;66,46453569;4417,534504;-0,152940763;1,261059785;208;208;48;48;128;160;3,109868886;3,109868886;21779,23694;147,5779012;63,50503132;130,253127;1
Img92;16;224;43264;130,2414099;49,83031035;2483,059829;-0,090060626;1,563372665;192;192;64;64;96;144;3,248669487;3,248669487;19445,88468;139,4485019;45,27504582;128,5942834;1
Img93;32;240;43264;127,9172072;59,76336875;3571,660244;0,105322171;1,425659024;208;208;64;48;112;128;3,280581608;3,280581608;19934,47214;141,1894902;55,94203413;131,3275393;1
Img94;16;240;50176;125,8324932;48,39340552;2341,921698;0,170118717;1,596002294;192;176;80;64;80;112;3,23164566;3,23164566;18175,73805;134,8174249;44,33808981;122,0910762;1
Img95;16;240;50176;136,2316284;58,68478482;3443,90397;-0,416962896;1,6275172;208;192;48;48;128;160;3,193041904;3,193041904;22002,96054;148,3339494;52,48065228;137,661357;1
Img96;16;240;50176;126,6510495;48,86241992;2387,53608;0,197717981;1,845057016;208;192;64;64;96;128;3,426814403;3,426814403;18428,02443;135,7498598;41,7869316;122,5595902;1
Img97;16;240;50176;133,0226216;53,5930728;2872,217452;-0,160049955;1,67021948;208;192;64;48;96;144;3,493746139;3,493746139;20567,23532;143,4128143;47,58085471;133,3271391;1
Img98;32;240;43264;137,1558018;50,30216924;2530,30823;-0,049527542;1,647984421;208;192;80;64;80;144;3,432087214;3,432087214;21342,0222;146,0890899;45,18000181;136,3136581;1
Img99;16;240;50176;129,104759;58,76505192;3453,331327;0,014012222;1,461720315;208;192;64;48;112;144;3,362093543;3,362093543;20121,37013;141,8498154;54,53446978;125,5699048;1
